Heading,Sentence,Cleaned Heading,Cleaned Sentence,Combined Cleaned Text,Corrected Text
CSC 327: DATABASE MANAGEMENT SYSTEM II (3 UNITS) - C ,"CSC 333: COMPUTER RESEARCH METHODOLOGY (1 Unit) - R The meaning  and concept of research. Types of research: Quantitative and qualitative. The Information skills: retrieving and recording bibliographic information from manual and computerized sources. Citation.  Intellectual property rights; time m anagement; report wri ting; oral presentation, plagiarism. Scientific writing.",csc 327 database management system ii 3 unit c,csc 333 computer research methodology 1 unit r meaning concept research type research quantitative qualitative information skill retrieve record bibliographic information manual computerized source citation intellectual property right time m anagement report wri ting oral presentation plagiarism scientific writing,csc 327 database management system ii 3 unit c csc 333 computer research methodology 1 unit r meaning concept research type research quantitative qualitative information skill retrieve record bibliographic information manual computerized source citation intellectual property right time m anagement report wri ting oral presentation plagiarism scientific writing,0
CSC 335: INTRODUCTION TO FORMAL LANGUAGES AND AUTOMATA THEORY (2 UNITS) - E ,"Formal Language: formal grammars, parsing, regular languages, context -free languages, automata theory. Finite state automa ta push -down automata. Compiler Construction: Grammars and language, recognizers, top -down and bottom -up production language; run -time. Storage organization. The use of display in run time storage allocation. LR grammars  and analyzers of symbol tables. All ocation of storage to run time variable codes generation. Optimization translator writing systems.",csc 335 introduction formal languages automata theory 2 unit e,formal language formal grammar parse regular language context -free language automata theory finite state automa ta push -down automata compiler construction grammars language recognizer -down -up production language run -time storage organization use display run time storage allocation lr grammar analyzer symbol table ocation storage run time variable code generation optimization translator write system,csc 335 introduction formal languages automata theory 2 unit e formal language formal grammar parse regular language context -free language automata theory finite state automa ta push -down automata compiler construction grammars language recognizer -down -up production language run -time storage organization use display run time storage allocation lr grammar analyzer symbol table ocation storage run time variable code generation optimization translator write system,0
CSC 339: SYSTEMS ANALYSIS AND DESIGN (3 UNITS) - C ,"System Concept; System Development Life Cycle Analysis: Fact gatherin g Techniques, data flow diagrams, Pr ocess description data modeling. System Design: Structure Charts, form designs, security, automated Tools for design. Scope of systems analysis . System investigation. Input design output  design. Review of design and orga nization of files. Design and docume ntation. Program designs, feasibility study. Systems analysis techniques, management information system, systems implementation and conversion.",csc 339 systems analysis design 3 unit c,system concept system development life cycle analysis fact gatherin g techniques datum flow diagram pr ocess description datum modeling system design structure charts form design security automated tools design scope system analysis system investigation input design output design review design orga nization file design docume ntation program design feasibility study system analysis technique management information system system implementation conversion,csc 339 systems analysis design 3 unit c system concept system development life cycle analysis fact gatherin g techniques datum flow diagram pr ocess description datum modeling system design structure charts form design security automated tools design scope system analysis system investigation input design output design review design orga nization file design docume ntation program design feasibility study system analysis technique management information system system implementation conversion,0
CSC 339: SYSTEMS ANALYSIS AND DESIGN (3 UNITS) - C ,"CSC 371: FUNCTIONAL PROGRAMMING: (2 Units) - E  The study of functional programming paradigm, procedural versus  functional paradigm; efficient function handling, structured memory. Heap. Introduction to Haskell: Data types, operators, Lists, List operations, claases types, ZF -exoression, quicksort, func tion composition, memoisation, fold functions, tuples, zip and curry, mathematical induction . Introduction to Hugs. Basic commands, Loading data, input/output.",csc 339 systems analysis design 3 unit c,csc 371 functional programming 2 unit e study functional programming paradigm procedural versus functional paradigm efficient function handling structured memory heap introduction haskell datum type operator lists list operation claase type zf -exoression quicksort func tion composition memoisation fold function tuple zip curry mathematical induction introduction hugs basic command loading datum input output,csc 339 systems analysis design 3 unit c csc 371 functional programming 2 unit e study functional programming paradigm procedural versus functional paradigm efficient function handling structured memory heap introduction haskell datum type operator lists list operation claase type zf -exoression quicksort func tion composition memoisation fold function tuple zip curry mathematical induction introduction hugs basic command loading datum input output,0
CSC 405: SOCIAL ISSUES IN INFORMATION TECHNOLOGY (2 UNITS) - E ,"The main  aim of this course is to give students the opportunity to deve lop a software package of choice. Students are required to use the software principles learnt so far to develop at least one software package related to the industry where they are undergoing S IWES. The software should reflect the understanding of System D evelopment Life Cycle. Any programming language could be used, e.g. java, C++, etc. Students should also demonstrate ability to create and interrogate databases and their components. Each stude nt is required to submit a CD/DVD containing the source code an d the binary or compiled version of the software package at the end of SIWES to the department for assessment. The CD should also contain the documentation on how to use the software, system re quirements and installation instruction.  Record keeping is very important in business management and every company or business keeps record and accesses such records at one point or the order. A major challenge in record management is t he manual approach of record keeping which is commonly used in Nigeria. Computer Scientists attempt to solve this problem by automating record keeping using database management system concepts.  The aim of this course is to encourage each student to apply t he concepts of database management learnt in the class to the company where SIWES is undertaken. Students are required to create databases using any package of choice, e.g. MySQL, postgreSQL, M icrosoft SQL, MS -Access, Oracle, Sybase, Ingress, Informix, etc . They are also required to demonstrate ability to manipulate tables, issue queries, generate/design reports and forms, link tables, etc. Students could also demonstrate front -end programming a bility by using programming languages like PHP, VB.NET, Java, e tc in managing the database created. Each student is required to submit a CD containing the package developed at the end of SIWES to the department for assessment. The CD should also contain th e documentation on how to use the software, system requirements  and installation instruction.  The most commonly used computer applications in offices are office pac kages and this is not covered by the university curriculum, tho ugh with the understanding that students could acquire the skills during their training. Unfortunately, this never happens and many BSc. Computer Science students leave the university without a ny knowledge of office applications. The aim of this course is to expose students to office applications, e.g. MS word Excel and powerpoint. Students are required to demonstrate ability to use MS word, Excel and powerpoint or equivalent open office applica tions. MS Word: Open a new documents, format documents, change fonts size and type, insert page numbers, italicise, boldface, conversion for pdf files, equations, creation of CV, header and footnotes, mail merge, tables, tracking changes, references and bi bliography, etc. Excel: Create new spreadsheet, create records related, use formula, macros, format cells, merge cells, split cells, import text files, conversion of spreadsheet files to comma separated files, export as pdf files, etc. Powerpoint: Create s lides and presentations, use different designs, and layouts, sl ide show, slide timing tool, printing, animations,  inserting tables, figures, clip arts, slides rehearsing and recording, Document Workflow, Electronic Document Management System ,Other Office  Applications: Payroll, Pension Manager, Human Resources, Custo mer Relation Management (CRM), etc. Each student is required to submit an electronic copy in CD form of any document created using office tools listed above.  The SIWES is a work ba sed training programme for a period of six months, in the industry, under the follow up of an academic faculty member from the department of Computer Sciences, Lagos state university. SIWES gives students the opportunity to apply the knowledge acquired dur ing the BSc. Programme to the industry and also to identify problems that could be solved using computational  techniques. Students must get a formal/written approval from the head of department before proceeding on the training. Periodic reports and a fina l report must be submitted for evaluation, an oral examination is required. The first report shall be due for submission at the end of the first three weeks of SIWES. The first report which must be sent electronically to the head of department will contain  the activities of the industry, how the industry uses Computer Science / information technology, and the roles assigned to the student. The final report shall contain a summative report of the roles of the students within the industry, what was learnt, ch allenges and recommendations. This course cannot be taken by students not studying for the award of BSc. in Computer Sciences.  Ethical issues in the work place, in work -teams and with clients m oral values  generation, culture, heritage and technology im0plications of technology, globally and in Nigeria. Computer abuse, crime detection, legal issues in the IT profession community, global and environmental responsibility professional ethical codes  and personal responsibility.",csc 405 social issues information technology 2 unit e,main aim course student opportunity deve lop software package choice student require use software principle learn far develop software package relate industry undergo s iwes software reflect understanding system d evelopment life cycle programming language use e.g. java c++ etc student demonstrate ability create interrogate database component stude require submit cd dvd contain source code d binary compile version software package end siwes department assessment cd contain documentation use software system quirement installation instruction record keeping important business management company business record access record point order major challenge record management t manual approach record keeping commonly use nigeria computer scientists attempt solve problem automate record keeping use database management system concept aim course encourage student apply t concept database management learn class company siwes undertake student require create database use package choice e.g. mysql postgresql m icrosoft sql ms -access oracle sybase ingress informix etc require demonstrate ability manipulate table issue query generate design report form link table etc student demonstrate -end program bility use programming language like php vb.net java e tc manage database create student require submit cd contain package develop end siwes department assessment cd contain th e documentation use software system requirement installation instruction commonly use computer application office office pac kage cover university curriculum tho ugh understanding student acquire skill training unfortunately happen bsc computer science student leave university ny knowledge office application aim course expose student office application e.g. ms word excel powerpoint student require demonstrate ability use ms word excel powerpoint equivalent open office applica tion ms word open new document format document change font size type insert page number italicise boldface conversion pdf file equation creation cv header footnote mail merge table track change reference bi bliography etc excel create new spreadsheet create record relate use formula macros format cell merge cell split cell import text file conversion spreadsheet file comma separate file export pdf file etc powerpoint create s lide presentation use different design layout sl ide slide timing tool printing animation insert table figure clip art slide rehearse recording document workflow electronic document management system office applications payroll pension manager human resources custo mer relation management crm etc student require submit electronic copy cd form document create use office tool list siwes work ba se training programme period month industry follow academic faculty member department computer sciences lagos state university siwes student opportunity apply knowledge acquire dur ing bsc programme industry identify problem solve use computational technique student formal write approval head department proceed training periodic report fina l report submit evaluation oral examination require report shall submission end week siwes report send electronically head department contain activity industry industry use computer science information technology role assign student final report shall contain summative report role student industry learn ch allenge recommendation course student study award bsc computer sciences ethical issue work place work -team client m oral value generation culture heritage technology im0plications technology globally nigeria computer abuse crime detection legal issue profession community global environmental responsibility professional ethical code personal responsibility,csc 405 social issues information technology 2 unit e main aim course student opportunity deve lop software package choice student require use software principle learn far develop software package relate industry undergo s iwes software reflect understanding system d evelopment life cycle programming language use e.g. java c++ etc student demonstrate ability create interrogate database component stude require submit cd dvd contain source code d binary compile version software package end siwes department assessment cd contain documentation use software system quirement installation instruction record keeping important business management company business record access record point order major challenge record management t manual approach record keeping commonly use nigeria computer scientists attempt solve problem automate record keeping use database management system concept aim course encourage student apply t concept database management learn class company siwes undertake student require create database use package choice e.g. mysql postgresql m icrosoft sql ms -access oracle sybase ingress informix etc require demonstrate ability manipulate table issue query generate design report form link table etc student demonstrate -end program bility use programming language like php vb.net java e tc manage database create student require submit cd contain package develop end siwes department assessment cd contain th e documentation use software system requirement installation instruction commonly use computer application office office pac kage cover university curriculum tho ugh understanding student acquire skill training unfortunately happen bsc computer science student leave university ny knowledge office application aim course expose student office application e.g. ms word excel powerpoint student require demonstrate ability use ms word excel powerpoint equivalent open office applica tion ms word open new document format document change font size type insert page number italicise boldface conversion pdf file equation creation cv header footnote mail merge table track change reference bi bliography etc excel create new spreadsheet create record relate use formula macros format cell merge cell split cell import text file conversion spreadsheet file comma separate file export pdf file etc powerpoint create s lide presentation use different design layout sl ide slide timing tool printing animation insert table figure clip art slide rehearse recording document workflow electronic document management system office applications payroll pension manager human resources custo mer relation management crm etc student require submit electronic copy cd form document create use office tool list siwes work ba se training programme period month industry follow academic faculty member department computer sciences lagos state university siwes student opportunity apply knowledge acquire dur ing bsc programme industry identify problem solve use computational technique student formal write approval head department proceed training periodic report fina l report submit evaluation oral examination require report shall submission end week siwes report send electronically head department contain activity industry industry use computer science information technology role assign student final report shall contain summative report role student industry learn ch allenge recommendation course student study award bsc computer sciences ethical issue work place work -team client m oral value generation culture heritage technology im0plications technology globally nigeria computer abuse crime detection legal issue profession community global environmental responsibility professional ethical code personal responsibility,0
CSC 413: SOFTWARE ENGINEERING (4 UNITS) - C ,"Introduction, Software process, Project planning, Requirement Engineering, System Models: Process Models; DFDS, State -transition, State charts UML, Data Models, ER Models, Object oriented modeling using UML, Software verification and validation, Software Testing. Topics from process improvement; Software re -engineering configuration management; formal specification, software cost - estimation, software Architecture, software pattern s, software reuse and open source development.",csc 413 software engineering 4 unit c,introduction software process project planning requirement engineering system model process models dfds state -transition state chart uml data models er models object orient modeling use uml software verification validation software testing topic process improvement software -engineere configuration management formal specification software cost estimation software architecture software pattern s software reuse open source development,csc 413 software engineering 4 unit c introduction software process project planning requirement engineering system model process models dfds state -transition state chart uml data models er models object orient modeling use uml software verification validation software testing topic process improvement software -engineere configuration management formal specification software cost estimation software architecture software pattern s software reuse open source development,0
CSCPATTERN RECOGNITION AND COMPUTER VISION (3 UNITS) - E ,"Image understanding and analysis, study of the underlying image segmentation techniques, object measurements including shape and texture analysis,  feature selection and extraction, classification, multispectral image analysis, 3D imaging, computerized tomography, stereometry and stereoscopic imaging. Image Arithmetic and manipulation. Image format types. MATLAB and image analysis toolbox.",cscpattern recognition computer vision 3 unit e,image understanding analysis study underlie image segmentation technique object measurement include shape texture analysis feature selection extraction classification multispectral image analysis 3d imaging computerized tomography stereometry stereoscopic imaging image arithmetic manipulation image format type matlab image analysis toolbox,cscpattern recognition computer vision 3 unit e image understanding analysis study underlie image segmentation technique object measurement include shape texture analysis feature selection extraction classification multispectral image analysis 3d imaging computerized tomography stereometry stereoscopic imaging image arithmetic manipulation image format type matlab image analysis toolbox,0
CSC 419: STATISTICAL COMPUTING (3 UNITS) - E ,Problems Associated with analysis of stochastic problems and statistical analysis by Applied Linear Models: Computational aspects of multiple models; Programming for Statistical Problems and Statistical Packages.,csc 419 statistical computing 3 unit e,problem associate analysis stochastic problem statistical analysis applied linear models computational aspect multiple model programming statistical problems statistical packages,csc 419 statistical computing 3 unit e problem associate analysis stochastic problem statistical analysis applied linear models computational aspect multiple model programming statistical problems statistical packages,0
CSC0: INTRODUCTION TO COMPUTER SECURITY (3 UNITS) -C  ,"Private and public -key cryptography; block ciphers, data encryption, authentication, key distribution and certification, pseudorandom number generators, design and analysis of protocols, zero -knowledge proofs, and advanced protocols. Emphasizes rigorous mathematical approach including formal definitions of security goals and proofs of protocol security.  Basic cryptography, security/threat analysis, access control, auditing, security models, distributed sys tems security, and theory behind common attack and defense techniques. The class will go over formal models as well as the bits and bytes of security exploits.",csc0 introduction computer security 3 unit -c,private public -key cryptography block cipher datum encryption authentication key distribution certification pseudorandom number generator design analysis protocol zero -knowledge proof advanced protocol emphasize rigorous mathematical approach include formal definition security goal proof protocol security basic cryptography security threat analysis access control auditing security model distribute sys tem security theory common attack defense technique class formal model bit bytes security exploit,csc0 introduction computer security 3 unit -c private public -key cryptography block cipher datum encryption authentication key distribution certification pseudorandom number generator design analysis protocol zero -knowledge proof advanced protocol emphasize rigorous mathematical approach include formal definition security goal proof protocol security basic cryptography security threat analysis access control auditing security model distribute sys tem security theory common attack defense technique class formal model bit bytes security exploit,0
CSC 421: EMBEDDED COMPUTER SYSTEMS (2 UNITS) - E ,"Introduction to embedded Computing; embedded c omputing hardware: Processors, DSPs, SOCs, Peripherals; Communications; Software: Real -Time O/Ss, Scheduling; Design Methodology; Hardware Programming; FP GA Programming. Embedded computer systems are found everywhere -- cellular phones, cars, VCRs, camera s, and all kinds of consumer electronics. The huge numbers and new added complexity requires new technologies and design approaches. The goal of this course is to develop a comprehensive understanding of the technologies behind the embedded systems. The st udents develop an appreciation of the underlying technology capabilities and limitations of the hardware, software components for building embedded systems. The students also learn new approaches for building embedded systems and will gain experience on ac tual system design through several hands -on experiments.",csc 421 embedded computer systems 2 unit e,introduction embed computing embed c omputing hardware processor dsp socs peripherals communications software real -time o ss scheduling design methodology hardware programming fp ga programming embed computer system find -- cellular phone car vcr camera s kind consumer electronic huge number new add complexity require new technology design approach goal course develop comprehensive understanding technology embed system st udent develop appreciation underlie technology capability limitation hardware software component build embed system student learn new approach build embed system gain experience ac tual system design hand -on experiment,csc 421 embedded computer systems 2 unit e introduction embed computing embed c omputing hardware processor dsp socs peripherals communications software real -time o ss scheduling design methodology hardware programming fp ga programming embed computer system find -- cellular phone car vcr camera s kind consumer electronic huge number new add complexity require new technology design approach goal course develop comprehensive understanding technology embed system st udent develop appreciation underlie technology capability limitation hardware software component build embed system student learn new approach build embed system gain experience ac tual system design hand -on experiment,0
CSC 424: EXPERT SYSTEMS AND KNOWLEDGE ENGINEERING (2 UNITS) - E  ,Introduction: The history of knowledge -based expert systems; Characteristics of current expert systems; and Basic concepts for building  expert systems. Building and Expert System: The architecture of expert systems; Constructing an expert system; and Tools  for building expert systems. Evaluating an Expert System: Reasoning about reasoning; and Issues and case studies. Language and Tools f or Knowledge Engineering. A Case Study in Knowledge Engineering,csc 424 expert systems knowledge engineering 2 unit e,introduction history knowledge -based expert system characteristics current expert system basic concept build expert system building expert system architecture expert system construct expert system tool build expert system evaluate expert system reason reasoning issue case study language tools f knowledge engineering case study knowledge engineering,csc 424 expert systems knowledge engineering 2 unit e introduction history knowledge -based expert system characteristics current expert system basic concept build expert system building expert system architecture expert system construct expert system tool build expert system evaluate expert system reason reasoning issue case study language tools f knowledge engineering case study knowledge engineering,0
CSC 427: COMPUTATIONAL SCIENCE AND NUMERICA L ANALYSIS (3 UNITS) - C       ,"Topics to include: Multiple Regression Analysis; One -way Analysis Variance. Two -way Analysis of Variance; Generalized inverses and Appli cations; Statistical Control; use of Packages to solve Statistical problems.  Numerical Data representation on computer, Computer as a crunching tool, Floating Point number, represen tation and arithmetic: Error, Stability, Convergence. Theory of computational solution to problem: numerical algorithm formulation and design, numeric s oftware systems. Introduction to use of Matlab and Maple in numerical computation and engineering applic ations. Emphasis is on the use of software to solve real problems. Iterative solution of non -linear systems (Newton’s method)   Numerical solution of li near systems. Numerical computation of Eigenvalues eigenvectors. Curve fitting; Function approximation. Numerical differentiation and integration (Simpson’s rule, etc). Explicit and Implicit methods. Differential equations (Euler’s Method, etc). Linear Alg ebra: Finite Differences.  High performance computation",csc 427 computational science numerica l analysis 3 unit c,topic include multiple regression analysis -way analysis variance -way analysis variance generalized inverse appli cation statistical control use packages solve statistical problem numerical data representation computer computer crunch tool float point number represen tation arithmetic error stability convergence theory computational solution problem numerical algorithm formulation design numeric s oftware system introduction use matlab maple numerical computation engineering applic ation emphasis use software solve real problem iterative solution non -linear system newton method numerical solution li near system numerical computation eigenvalues eigenvector curve fitting function approximation numerical differentiation integration simpson rule etc explicit implicit method differential equation euler method etc linear alg ebra finite differences high performance computation,csc 427 computational science numerica l analysis 3 unit c topic include multiple regression analysis -way analysis variance -way analysis variance generalized inverse appli cation statistical control use packages solve statistical problem numerical data representation computer computer crunch tool float point number represen tation arithmetic error stability convergence theory computational solution problem numerical algorithm formulation design numeric s oftware system introduction use matlab maple numerical computation engineering applic ation emphasis use software solve real problem iterative solution non -linear system newton method numerical solution li near system numerical computation eigenvalues eigenvector curve fitting function approximation numerical differentiation integration simpson rule etc explicit implicit method differential equation euler method etc linear alg ebra finite differences high performance computation,0
CSC 428: COMPUTER GRAPHICS AND VISUAL COMPUTIN G (2 UNITS) - E ,"Hardware aspect: Plotters microfilm, display, graphic tables, light pens, other graphical input aids, facsimile and its problems. Refres h/display, refresh buggers, charging images light -pen interaction. Two and three dimensional transformat ions, perspective, chipping algorithms. Amode’s method, shading, data reduction for graphical input, introduction of character recognition. Curve synthe sis and fitting. Controlling, wing, structures, versus doubly linked bits hierarchical data structures, organization for interactive graphics.",csc 428 computer graphics visual computin g 2 unit e,hardware aspect plotters microfilm display graphic table light pen graphical input aid facsimile problem refre h display refresh bugger charge image light -pen interaction dimensional transformat ion perspective chip algorithm amode method shading data reduction graphical input introduction character recognition curve synthe sis fitting control wing structure versus doubly link bit hierarchical data structure organization interactive graphic,csc 428 computer graphics visual computin g 2 unit e hardware aspect plotters microfilm display graphic table light pen graphical input aid facsimile problem refre h display refresh bugger charge image light -pen interaction dimensional transformat ion perspective chip algorithm amode method shading data reduction graphical input introduction character recognition curve synthe sis fitting control wing structure versus doubly link bit hierarchical data structure organization interactive graphic,0
CSC 429: MODELING AND SIMULATION (3 UNITS) - E     ,"The concepts and techniques used in modeling and simulation methodology and a suitable simulation language (SIMPSCRIPT, etc.), inventory control product scheduling,  quality control, industrial simulation and forecast, modeling generation of random variables.",csc 429 modeling simulation 3 unit e,concept technique use modeling simulation methodology suitable simulation language simpscript etc inventory control product scheduling quality control industrial simulation forecast model generation random variable,csc 429 modeling simulation 3 unit e concept technique use modeling simulation methodology suitable simulation language simpscript etc inventory control product scheduling quality control industrial simulation forecast model generation random variable,0
CSC 431: ANALYSIS AND DESIGN OF DIGITAL SYSTEM (3 UNITS)  - E  ,"Information; representation and manipulation, coding logic functions, Boolean algebra, logic gates  combination circuits design, logarithmic methods of synthesis and minimization of combination circuits design, logarithmic methods of synthesis and min imization of combination circuits memories including latch, flip -flop, shift heartier, RAM and ROM synth esis of synchronous sequential networks. Asynchronous sequential logic.",csc 431 analysis design digital system 3 unit e,information representation manipulation code logic function boolean algebra logic gate combination circuit design logarithmic method synthesis minimization combination circuit design logarithmic method synthesis min imization combination circuit memory include latch flip -flop shift heartier ram rom synth esis synchronous sequential network asynchronous sequential logic,csc 431 analysis design digital system 3 unit e information representation manipulation code logic function boolean algebra logic gate combination circuit design logarithmic method synthesis minimization combination circuit design logarithmic method synthesis min imization combination circuit memory include latch flip -flop shift heartier ram rom synth esis synchronous sequential network asynchronous sequential logic,0
CSC 432: PRINCIPLES OF PROGRAMMING LANGUAGES II (3 UNITS) - C ,"The effects of sc ale on programming methodology; Language Description: Syntactic Structure (Expression notations, abstrac t Syntax Tree, Lexical Syntax, Grammars for Expressions, Variants of Grammars), Language Semantics (Informal semantics, Overview of formal semantics, De notation semantics, Axiomatic semantics, Operational semantics); Declarations and types: The concept of types, Declaration models (binding, visibility, scope, and lifetime), Overview of type -checking, Garbage collection; Abstraction mechanisms: Procedures,  function, and iterations as abstraction mechanisms, Parameterization mechanisms (reference vs. value), Activation records and storage management, Type parameters and parameterized types, Modules in programming languages; Object oriented language paradigm;  Functional and logic language paradigms.",csc 432 principle programming languages ii 3 unit c,effect sc ale programming methodology language description syntactic structure expression notation abstrac t syntax tree lexical syntax grammars expressions variants grammars language semantics informal semantic overview formal semantic de notation semantic axiomatic semantic operational semantic declaration type concept type declaration model binding visibility scope lifetime overview type -checking garbage collection abstraction mechanism procedure function iteration abstraction mechanism parameterization mechanism reference vs. value activation record storage management type parameter parameterized type modules programming language object orient language paradigm functional logic language paradigm,csc 432 principle programming languages ii 3 unit c effect sc ale programming methodology language description syntactic structure expression notation abstrac t syntax tree lexical syntax grammars expressions variants grammars language semantics informal semantic overview formal semantic de notation semantic axiomatic semantic operational semantic declaration type concept type declaration model binding visibility scope lifetime overview type -checking garbage collection abstraction mechanism procedure function iteration abstraction mechanism parameterization mechanism reference vs. value activation record storage management type parameter parameterized type modules programming language object orient language paradigm functional logic language paradigm,0
CSC 433: OPTIMIZATION THEORY (3 UNITS) - E ,"Queuing theory, s imulation models, inventory models, forecasting, non -linear programming goal programming, calculus of variation, integer programming, quadratic programm ing, decision theory.",csc 433 optimization theory 3 unit e,queue theory s imulation model inventory model forecasting non -linear programming goal programming calculus variation integer programming quadratic programm ing decision theory,csc 433 optimization theory 3 unit e queue theory s imulation model inventory model forecasting non -linear programming goal programming calculus variation integer programming quadratic programm ing decision theory,0
CSC 437: ARTIFICIAL INTELLIGENCE (3 UNITS) - C     ,"Introduction to Artificial Int elligence, understanding natural languages, knowledge representation, export system pattern recognition, the language HLSP and PROLOG. Intelligent agents  ; Problem solving as search  : Search strategies  : Breath first, Depth -first, uniform cost, dept constr aint satisfaction Problems, Backtracking search for CSP, Constraint Propagation, Local search for CSPs. Logic -based knowledge representation.",csc 437 artificial intelligence 3 unit c,introduction artificial int elligence understand natural language knowledge representation export system pattern recognition language hlsp prolog intelligent agent problem solve search search strategy breath depth -first uniform cost dept constr satisfaction problems backtracking search csp constraint propagation local search csp logic -based knowledge representation,csc 437 artificial intelligence 3 unit c introduction artificial int elligence understand natural language knowledge representation export system pattern recognition language hlsp prolog intelligent agent problem solve search search strategy breath depth -first uniform cost dept constr satisfaction problems backtracking search csp constraint propagation local search csp logic -based knowledge representation,0
CSCCOMPUTER NETWORK AND DATA COMMUNICATION (3 UNITS) - E ,"Introduction to concepts, principles and practice o f computer communication networks with examples from existing architectures, protocols, and standards. Layering and the OSL model, switching, local, metropolitan, and wide area networks, data grams and vir tual circuits, mounting and congestion control, internet working. Introduction, wares, Fourier analysis, measure of communication, channel characteristics, transmission media, noise and distortion, modulation and demodulation, multiplexing,  TDM FDM and FCM  Parallel and serial transmission (synchronous Vs a synchronous). Bus structures and loop systems, computer network Examples and design consideration, data switching principles broadcast techniques, network structure for packet switching, protocols, descrip tion of network e.g. ARPANET, etc.",csccomputer network data communication 3 unit e,introduction concept principle practice o f computer communication network example exist architecture protocol standard layering osl model switching local metropolitan wide area network datum gram vir tual circuit mount congestion control internet working introduction ware fourier analysis measure communication channel characteristic transmission medium noise distortion modulation demodulation multiplexing tdm fdm fcm parallel serial transmission synchronous vs synchronous bus structure loop system computer network examples design consideration datum switch principle broadcast technique network structure packet switching protocol descrip tion network e.g. arpanet etc,csccomputer network data communication 3 unit e introduction concept principle practice o f computer communication network example exist architecture protocol standard layering osl model switching local metropolitan wide area network datum gram vir tual circuit mount congestion control internet working introduction ware fourier analysis measure communication channel characteristic transmission medium noise distortion modulation demodulation multiplexing tdm fdm fcm parallel serial transmission synchronous vs synchronous bus structure loop system computer network examples design consideration datum switch principle broadcast technique network structure packet switching protocol descrip tion network e.g. arpanet etc,0
CSC 441: PROJECT MANAGEMENT (3 UNITS)  ,"Design and Analysis of Sampling Surveys; Statistical Data Compression; 2D, 3D Frequency Table, Points and Interval Estimation; Test of Significance: Test of Hypothesi s; Analysis of Categorical Data; Model Validation; x2-Test, Probability Plots.",csc 441 project management 3 unit,design analysis sampling surveys statistical data compression 2d 3d frequency table points interval estimation test significance test hypothesi s analysis categorical data model validation x2 test probability plots,csc 441 project management 3 unit design analysis sampling surveys statistical data compression 2d 3d frequency table points interval estimation test significance test hypothesi s analysis categorical data model validation x2 test probability plots,0
CSC 441: PROJECT MANAGEMENT (3 UNITS)  ,"Management Concepts. Project organiz ation, teams, methods and tools for project management. Organization constraints on development. Proj ect Planning Objectives, Resources, Project Estimat ion, Cost Factors, Decomposition Techniques, Estimation Models. Risk Strategies, Risk Identification, Risk Projection, Risk Monitoring and Management. Work Breakdown Structure,Task Allocation/Effort Distri bution. Network Diagrams, PERT and Critical PathMet hod, Gantt Chart. Scheduling Strategies. Project Tracking, Controlling Progress. Quality measurement. Linear Programming and PERT/CPM applications. System Engineering, Software Development Process, Softwar e Life Cycle, Software Metrics and Measurement.",csc 441 project management 3 unit,management concepts project organiz ation team method tool project management organization constraint development proj ect planning objective resources project estimat ion cost factor decomposition techniques estimation models risk strategies risk identification risk projection risk monitoring management work breakdown structure task allocation effort distri bution network diagrams pert critical pathmet hod gantt chart scheduling strategy project tracking control progress quality measurement linear programming pert cpm application system engineering software development process softwar e life cycle software metrics measurement,csc 441 project management 3 unit management concepts project organiz ation team method tool project management organization constraint development proj ect planning objective resources project estimat ion cost factor decomposition techniques estimation models risk strategies risk identification risk projection risk monitoring management work breakdown structure task allocation effort distri bution network diagrams pert critical pathmet hod gantt chart scheduling strategy project tracking control progress quality measurement linear programming pert cpm application system engineering software development process softwar e life cycle software metrics measurement,0
CSC 451: HUMAN COMPUTER INTERFACE (HCI) (2 UNITS) - C ,"Foundations of HCI, Principles of GUI, GUI toolkits; Human -centred software evaluation and development; GUI design and programming.",csc 451 human computer interface hci 2 unit c,foundations hci principles gui gui toolkit human -centred software evaluation development gui design programming,csc 451 human computer interface hci 2 unit c foundations hci principles gui gui toolkit human -centred software evaluation development gui design programming,0
CSC 442: INTRODUCTION TO PHP AND MYSQL (2 UNITS) - E ,"Meaning of a Web Database Application. The database, the application: Moving data in and out of the database, MYSQL, Communicating with the MYSQL – How MYSQL –works, Advantages of PHP, How PHP works, MYSQL - and P HP, the Perfect Pair, Advantages of the relationship, How MYS QL – and PHP work together, keeping Up with PHP and MYSQL Changes.",csc 442 introduction php mysql 2 unit e,meaning web database application database application datum database mysql communicate mysql – mysql – work advantage php php work mysql p hp perfect pair advantage relationship mys ql – php work php mysql changes,csc 442 introduction php mysql 2 unit e meaning web database application database application datum database mysql communicate mysql – mysql – work advantage php php work mysql p hp perfect pair advantage relationship mys ql – php work php mysql changes,0
CSC 444: MANAGEMENT INFORMATION SYSTEM  ,"An introduction to Information Systems and their strategic role in business. Types of In formation Systems, organizational requirements, systems devel opment strategies, Decision Support Systems, data and information management, and information systems management, control and implementation.",csc 444 management information system,introduction information systems strategic role business type formation systems organizational requirement system devel opment strategy decision support systems datum information management information system management control implementation,csc 444 management information system introduction information systems strategic role business type formation systems organizational requirement system devel opment strategy decision support systems datum information management information system management control implementation,0
